"Gemeenten";"Batterij-elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Januari 2021";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|Januari 2021";"Voertuigen op waterstof (FCEV) totaal, geregistreerd bij eigenaar|Januari 2021";"Elektrische personenauto's (BEV), geregistreerd bij eigenaar|Januari 2021";"Elektrische bedrijfsauto's, geregistreerd bij eigenaar|Januari 2021";"Elektrische bussen, geregistreerd bij eigenaar|Januari 2021";"Elektrische twee- en driewielige voertuigen, geregistreerd bij eigenaar|Januari 2021";"Elektrische vierwielige light voertuigen (quadricycle en microcar), geregistreerd bij eigenaar|Januari 2021";"Plug-in hybride personenauto's (PHEV), geregistreerd bij eigenaar|Januari 2021";"Plug-in hybride lichte bedrijfsauto (<3500 kg, PHEV), geregistreerd bij eigenaar|Januari 2021";"Plug-in hybride Zware bedrijfsauto (>= 3500 kg, PHEV), geregistreerd bij eigenaar|Januari 2021";"Plug-in hybride bussen (PHEV), geregistreerd bij eigenaar|Januari 2021";"Personenauto's op waterstof (FCEV), geregistreerd bij eigenaar|Januari 2021";"Lichte bedrijfsauto's op waterstof (<3500 kg, FCEV), geregistreerd bij eigenaar|Januari 2021";"Zware bedrijfsauto's op waterstof (>= 3500 kg, FCEV), geregistreerd bij eigenaar|Januari 2021";"Bussen op waterstof (FCEV), geregistreerd bij eigenaar|Januari 2021"
"Aa en Hunze";269;131;1;139;2;0;126;2;131;0;0;0;1;0;0;0
"Aalsmeer";438;203;0;260;14;0;147;17;203;0;0;0;0;0;0;0
"Aalten";259;80;0;73;12;0;171;3;80;0;0;0;0;0;0;0
"Achtkarspelen";156;81;0;58;5;0;91;2;81;0;0;0;0;0;0;0
"Alblasserdam";204;101;0;115;14;0;53;22;101;0;0;0;0;0;0;0
"Albrandswaard";286;188;1;174;2;0;108;2;188;0;0;0;1;0;0;0
"Alkmaar";1875;764;0;1425;36;0;399;15;761;3;0;0;0;0;0;0
"Almelo";577;259;0;335;12;0;217;13;259;0;0;0;0;0;0;0
"Almere";27810;5674;22;26355;378;0;1064;13;5670;2;2;0;22;0;0;0
"Alphen aan den Rijn";1239;594;0;689;21;0;516;13;593;1;0;0;0;0;0;0
"Alphen-Chaam";89;56;0;50;0;0;34;5;56;0;0;0;0;0;0;0
"Altena";505;319;1;301;4;0;198;2;319;0;0;0;1;0;0;0
"Ameland";142;25;0;13;6;0;118;5;25;0;0;0;0;0;0;0
"Amersfoort";10470;2151;3;9467;123;98;732;50;2147;1;0;3;1;0;0;2
"Amstelveen";1103;776;2;667;38;0;361;37;774;2;0;0;2;0;0;0
"Amsterdam";17440;3991;3;9415;290;33;6900;802;3991;0;0;0;3;0;0;0
"Apeldoorn";2651;904;2;1714;36;1;881;19;902;0;1;1;1;1;0;0
"Arnhem";1663;575;21;940;19;4;682;18;575;0;0;0;21;0;0;0
"Assen";582;245;4;262;13;0;305;2;245;0;0;0;4;0;0;0
"Asten";150;78;1;60;2;0;86;2;78;0;0;0;1;0;0;0
"Baarle-Nassau";45;34;0;13;0;0;32;0;34;0;0;0;0;0;0;0
"Baarn";292;169;0;177;1;0;114;0;169;0;0;0;0;0;0;0
"Barendrecht";536;336;3;336;8;0;188;4;336;0;0;0;3;0;0;0
"Barneveld";723;310;2;371;13;0;330;9;310;0;0;0;2;0;0;0
"Beek";109;99;0;73;2;0;33;1;98;0;1;0;0;0;0;0
"Beekdaelen";218;168;0;133;5;0;79;1;168;0;0;0;0;0;0;0
"Beesel";65;48;0;38;3;0;19;5;48;0;0;0;0;0;0;0
"Berg en Dal";344;150;0;145;6;0;189;4;150;0;0;0;0;0;0;0
"Bergeijk";174;100;1;85;2;0;85;2;100;0;0;0;1;0;0;0
"Bergen (L.)";91;41;0;35;3;0;50;3;41;0;0;0;0;0;0;0
"Bergen (NH.)";349;294;0;195;11;0;138;5;294;0;0;0;0;0;0;0
"Bergen op Zoom";466;267;0;244;3;0;213;6;267;0;0;0;0;0;0;0
"Berkelland";364;202;0;173;4;0;180;7;202;0;0;0;0;0;0;0
"Bernheze";300;187;1;177;2;0;117;4;186;0;1;0;1;0;0;0
"Best";290;172;0;170;1;0;116;3;172;0;0;0;0;0;0;0
"Beuningen";235;135;0;137;2;0;91;5;135;0;0;0;0;0;0;0
"Beverwijk";345;191;0;177;9;0;156;3;191;0;0;0;0;0;0;0
"Bladel";220;110;1;116;2;0;99;3;110;0;0;0;1;0;0;0
"Blaricum";372;195;0;134;2;0;228;8;195;0;0;0;0;0;0;0
"Bloemendaal";378;307;0;234;8;0;133;3;307;0;0;0;0;0;0;0
"Bodegraven-Reeuwijk";897;286;0;223;6;0;665;3;286;0;0;0;0;0;0;0
"Boekel";120;47;0;52;5;0;62;1;47;0;0;0;0;0;0;0
"Borger-Odoorn";216;160;1;92;6;0;113;5;160;0;0;0;1;0;0;0
"Borne";179;104;0;116;1;0;58;4;104;0;0;0;0;0;0;0
"Borsele";376;101;0;116;7;0;250;3;101;0;0;0;0;0;0;0
"Boxtel";276;133;0;157;1;0;117;1;133;0;0;0;0;0;0;0
"Breda";13451;2600;14;12072;184;0;1175;20;2598;0;2;0;13;0;1;0
"Bronckhorst";541;192;3;318;23;0;196;4;192;0;0;0;3;0;0;0
"Brummen";188;119;0;107;8;0;70;3;119;0;0;0;0;0;0;0
"Brunssum";99;70;0;49;2;0;48;0;70;0;0;0;0;0;0;0
"Bunnik";292;93;0;126;2;0;162;2;93;0;0;0;0;0;0;0
"Bunschoten";182;155;0;118;1;0;62;1;155;0;0;0;0;0;0;0
"Buren";325;190;0;170;5;0;145;5;190;0;0;0;0;0;0;0
"Capelle aan den IJssel";725;346;1;482;6;0;230;7;346;0;0;0;1;0;0;0
"Castricum";388;231;0;214;16;0;154;4;231;0;0;0;0;0;0;0
"Coevorden";225;146;6;119;9;0;95;2;146;0;0;0;6;0;0;0
"Cranendonck";166;75;0;84;3;0;77;2;75;0;0;0;0;0;0;0
"Culemborg";292;133;1;170;7;0;113;2;133;0;0;0;1;0;0;0
"Dalfsen";246;161;0;119;3;0;121;3;161;0;0;0;0;0;0;0
"Dantumadiel";83;62;0;41;0;0;42;0;62;0;0;0;0;0;0;0
"De Bilt";641;332;0;369;10;0;255;7;332;0;0;0;0;0;0;0
"De Fryske Marren";470;257;0;271;4;0;192;3;257;0;0;0;0;0;0;0
"De Ronde Venen";619;357;0;331;11;0;268;9;357;0;0;0;0;0;0;0
"De Wolden";178;142;0;98;4;0;74;2;142;0;0;0;0;0;0;0
"Delft";888;299;2;500;9;0;371;8;299;0;0;0;2;0;0;0
"Den Haag";7037;2941;38;4731;101;9;2160;36;2939;1;1;0;38;0;0;0
"Den Helder";328;147;0;113;18;0;194;3;147;0;0;0;0;0;0;0
"Deurne";244;129;0;125;2;7;107;3;129;0;0;0;0;0;0;0
"Deventer";1096;364;1;493;25;261;307;10;364;0;0;0;1;0;0;0
"Diemen";262;128;0;110;8;0;131;13;128;0;0;0;0;0;0;0
"Dijk en Waard";917;487;0;477;12;0;422;6;486;1;0;0;0;0;0;0
"Dinkelland";386;120;0;132;5;0;243;6;120;0;0;0;0;0;0;0
"Doesburg";110;28;0;65;2;0;43;0;28;0;0;0;0;0;0;0
"Doetinchem";732;333;0;471;19;0;240;2;333;0;0;0;0;0;0;0
"Dongen";207;118;0;139;4;0;63;1;118;0;0;0;0;0;0;0
"Dordrecht";1801;741;7;1336;20;0;404;41;740;1;0;0;7;0;0;0
"Drechterland";181;127;0;87;3;0;89;2;127;0;0;0;0;0;0;0
"Drimmelen";227;128;0;134;4;0;88;1;128;0;0;0;0;0;0;0
"Dronten";460;233;0;243;13;0;200;4;233;0;0;0;0;0;0;0
"Druten";164;91;0;100;2;0;61;1;91;0;0;0;0;0;0;0
"Duiven";389;182;0;241;8;0;140;0;181;0;1;0;0;0;0;0
"Echt-Susteren";212;127;0;123;3;0;84;2;127;0;0;0;0;0;0;0
"Edam-Volendam";451;230;0;177;8;0;262;4;230;0;0;0;0;0;0;0
"Ede";1349;678;13;790;29;0;518;12;673;0;5;0;13;0;0;0
"Eemnes";122;62;0;59;1;0;60;2;62;0;0;0;0;0;0;0
"Eemsdelta";282;144;3;109;12;0;160;1;144;0;0;0;3;0;0;0
"Eersel";277;157;1;162;10;0;102;3;157;0;0;0;0;0;1;0
"Eijsden-Margraten";174;114;0;87;0;0;85;2;114;0;0;0;0;0;0;0
"Eindhoven";2445;1083;3;1559;61;2;776;47;1081;1;1;0;1;0;2;0
"Elburg";171;102;0;64;5;0;101;1;102;0;0;0;0;0;0;0
"Emmen";533;469;2;244;4;0;283;2;469;0;0;0;2;0;0;0
"Enkhuizen";125;72;0;62;2;0;61;0;72;0;0;0;0;0;0;0
"Enschede";1020;497;0;515;30;0;463;12;496;0;1;0;0;0;0;0
"Epe";329;179;1;163;5;0;157;4;179;0;0;0;1;0;0;0
"Ermelo";240;157;0;126;5;0;104;5;157;0;0;0;0;0;0;0
"Etten-Leur";334;191;0;185;8;0;136;5;191;0;0;0;0;0;0;0
"Geertruidenberg";203;121;0;105;2;0;93;3;121;0;0;0;0;0;0;0
"Geldrop-Mierlo";452;206;0;224;6;0;219;3;206;0;0;0;0;0;0;0
"Gemert-Bakel";301;115;0;169;10;0;122;0;115;0;0;0;0;0;0;0
"Gennep";153;65;0;82;3;0;68;0;65;0;0;0;0;0;0;0
"Gilze en Rijen";218;111;0;140;1;0;75;2;111;0;0;0;0;0;0;0
"Goeree-Overflakkee";529;257;1;281;16;0;225;7;257;0;0;0;1;0;0;0
"Goes";629;233;0;460;10;0;153;6;233;0;0;0;0;0;0;0
"Goirle";180;119;0;97;1;0;80;2;119;0;0;0;0;0;0;0
"Gooise Meren";807;482;0;444;8;0;334;21;482;0;0;0;0;0;0;0
"Gorinchem";450;157;0;274;5;0;170;1;157;0;0;0;0;0;0;0
"Gouda";463;231;0;233;7;0;221;2;231;0;0;0;0;0;0;0
"Groningen";3662;1048;21;2024;71;144;1404;19;1047;1;0;0;8;10;2;1
"Gulpen-Wittem";107;59;0;53;0;0;53;1;59;0;0;0;0;0;0;0
"Haaksbergen";179;97;0;71;9;0;97;2;97;0;0;0;0;0;0;0
"Haarlem";1641;715;0;864;45;0;719;13;713;2;0;0;0;0;0;0
"Haarlemmermeer";9156;3011;5;8136;263;2;706;49;3010;0;1;0;5;0;0;0
"Halderberge";267;117;0;151;3;0;113;0;117;0;0;0;0;0;0;0
"Hardenberg";409;272;0;225;4;0;178;2;272;0;0;0;0;0;0;0
"Harderwijk";408;260;0;236;17;0;153;2;259;1;0;0;0;0;0;0
"Hardinxveld-Giessendam";119;88;0;63;2;0;52;2;88;0;0;0;0;0;0;0
"Harlingen";124;60;0;42;1;0;80;1;60;0;0;0;0;0;0;0
"Hattem";138;70;0;83;1;0;54;0;70;0;0;0;0;0;0;0
"Heemskerk";322;181;0;149;11;0;160;2;181;0;0;0;0;0;0;0
"Heemstede";332;273;0;208;4;0;115;5;273;0;0;0;0;0;0;0
"Heerde";164;110;0;102;2;0;56;4;110;0;0;0;0;0;0;0
"Heerenveen";742;262;0;387;16;159;170;10;261;0;0;1;0;0;0;0
"Heerlen";552;260;0;330;11;0;206;5;260;0;0;0;0;0;0;0
"Heeze-Leende";203;78;0;96;7;0;96;4;78;0;0;0;0;0;0;0
"Heiloo";261;188;1;155;9;0;96;1;188;0;0;0;1;0;0;0
"Hellendoorn";372;212;2;262;5;0;103;2;212;0;0;0;2;0;0;0
"Helmond";740;431;5;410;12;0;315;3;431;0;0;0;5;0;0;0
"Hendrik-Ido-Ambacht";227;161;0;149;3;0;74;1;161;0;0;0;0;0;0;0
"Hengelo";1880;603;1;1561;24;0;284;11;602;1;0;0;1;0;0;0
"Het Hogeland";355;149;2;127;3;0;219;6;149;0;0;0;2;0;0;0
"Heumen";160;84;0;88;1;0;70;1;84;0;0;0;0;0;0;0
"Heusden";385;249;0;243;3;0;133;6;249;0;0;0;0;0;0;0
"Hillegom";247;114;0;141;11;0;93;2;114;0;0;0;0;0;0;0
"Hilvarenbeek";217;125;1;121;3;0;89;4;125;0;0;0;1;0;0;0
"Hilversum";1562;634;0;613;12;373;548;16;634;0;0;0;0;0;0;0
"Hoeksche Waard";979;581;0;509;13;0;445;12;580;1;0;0;0;0;0;0
"Hof van Twente";321;170;0;171;2;0;142;6;170;0;0;0;0;0;0;0
"Hollands Kroon";461;245;0;268;8;0;179;6;244;0;1;0;0;0;0;0
"Hoogeveen";322;184;2;146;5;0;170;1;184;0;0;0;2;0;0;0
"Hoorn";595;414;0;312;6;0;272;5;414;0;0;0;0;0;0;0
"Horst aan de Maas";386;181;1;240;7;0;135;4;181;0;0;0;1;0;0;0
"Houten";6298;1771;2;5921;95;0;266;16;1767;3;1;0;2;0;0;0
"Huizen";406;267;0;215;3;0;183;5;267;0;0;0;0;0;0;0
"Hulst";218;102;0;77;4;0;134;3;102;0;0;0;0;0;0;0
"IJsselstein";309;164;0;174;4;0;129;2;164;0;0;0;0;0;0;0
"Kaag en Braassem";359;189;0;194;14;0;148;3;189;0;0;0;0;0;0;0
"Kampen";361;201;0;163;9;0;188;1;201;0;0;0;0;0;0;0
"Kapelle";132;57;0;81;0;0;51;0;57;0;0;0;0;0;0;0
"Katwijk";597;353;0;302;11;0;271;13;353;0;0;0;0;0;0;0
"Kerkrade";181;100;0;97;6;0;77;1;100;0;0;0;0;0;0;0
"Koggenland";232;130;0;109;5;0;114;4;130;0;0;0;0;0;0;0
"Krimpen aan den IJssel";260;127;0;144;6;0;106;4;127;0;0;0;0;0;0;0
"Krimpenerwaard";633;311;0;324;16;0;286;7;311;0;0;0;0;0;0;0
"Laarbeek";216;108;1;103;6;0;106;1;108;0;0;0;1;0;0;0
"Land van Cuijk";837;384;0;406;15;0;411;5;384;0;0;0;0;0;0;0
"Landgraaf";157;101;0;92;1;0;62;2;101;0;0;0;0;0;0;0
"Landsmeer";140;108;0;63;4;0;70;3;108;0;0;0;0;0;0;0
"Lansingerland";885;503;0;531;19;0;331;4;503;0;0;0;0;0;0;0
